Gene	WT-Com1	WT-Com2	WT-Com3	WT-Q1	WT-Q2	WT-Q3	p53-Com1	p53-Com2	p53-Com3	p53-Q1	p53-Q2	p53-Q3
1110059G10Rik	2.11951	2.11086	2.28463	3.10895	2.93462	2.70795	1.53357	1.51054	1.49794	1.41428	1.60542	1.51196
1110065P20Rik	26.2589	25.4925	26.0245	11.0955	13.1821	12.9489	8.22049	7.30658	7.30095	7.44117	7.58206	7.65886
1190002N15Rik	3.9354	4.02893	4.00555	5.59286	4.84488	4.52746	4.67837	4.95218	4.63769	4.25123	4.79012	4.66498
1190005I06Rik	4.51055	8.31516	6.65429	1.26458	0.346724	0.759553	1.88398	1.77244	2.167	1.70882	1.84645	1.94489
1190007I07Rik	4.65885	5.72111	4.79124	6.62133	6.90851	6.54047	6.64818	6.71263	7.18629	5.29921	5.45038	6.27268
1300002E11Rik	0.899679	0.816229	0.975948	1.03162	1.05478	1.11201	0.995944	1.01836	0.963201	0.93135	0.918621	0.954315
1300017J02Rik	0.0447325	0.0427193	0.0429966	0.0816024	0.11261	0.0401065	0.0417629	0.0375062	0.0219109	0.0390543	0.0417935	0.0776944
1500004A13Rik	1.54417	1.21803	1.27903	2.71401	2.80278	2.65537	1.73436	1.91697	1.88307	2.44488	2.42967	2.56358
1500009L16Rik	0	0.0406978	0	0	0	0	0	0	0	0	0	0
1500011B03Rik	1.96203	2.21383	2.29883	2.5011	2.54863	2.66276	4.29514	4.32782	4.52405	5.10244	5.35143	5.17101
1500011K16Rik	2.79199	2.09712	2.23134	3.76065	3.88548	4.07834	2.48949	3.10374	3.31905	2.73886	2.37408	2.96952
1500012K07Rik	0	0	0	0	0	0	0	0	0	0.00845854	0	0
1500015A07Rik	2.11559	2.72424	2.57137	7.41273	6.84453	7.1956	1.05766	1.01852	1.31036	1.13206	1.22421	1.26829
1500015L24Rik	0	0	0	0	0	0	0.0305304	0	0.0320355	0	0	0
1500015O10Rik	0.0286505	0.0547221	0.0275386	0	0.0577002	0.0770627	0.053497	0	0	0.0500273	0.0267681	0.074643
1500017E21Rik	0.0177869	0.0148092	2.20E-23	0.0226226	6.62E-21	7.83E-16	2.31E-17	0.0186978	1.10E-21	3.11E-17	1.36E-18	1.32E-19
1500026H17Rik	0.067062	0.0960657	0.0805743	0.0524299	0.0337646	0.0751583	0.0547837	0.0210856	0.0164241	0.0146373	0.0391599	0.0145597
1600002D24Rik	0.0229721	0.0109691	0.0552016	0.0478931	0.0462643	0.0205964	0	0.0192611	0.0112522	0.0200561	0	0.0299246
1600002H07Rik	6.3515	5.94094	6.67558	8.601	8.69105	8.87728	14.4755	14.3737	14.4797	18.4082	18.5458	17.4858
1600002K03Rik	1.17243	1.41824	1.54013	3.13687	2.5973	3.7492	4.5608	5.63601	5.43649	7.02872	6.75494	6.27873
1600010M07Rik	0	0	0	0	0	0	0	0	0	0	0.0385878	0
1600012H06Rik	11.1291	10.7655	11.2552	7.58612	7.6184	7.51554	10.8148	11.7252	10.9986	9.98798	10.428	10.7599
1600014C10Rik	2.56629	2.52122	2.4029	3.03643	3.06685	2.91579	5.11545	5.20617	5.20145	5.62069	5.79439	5.74452
1600014C23Rik	0.0491151	0.0938093	0.0472091	0.204794	0	0.0440358	0.0458546	0.0411807	0	0	0.0917763	0
1600019K03Rik	0	0	0	0	0	0	0	0	0	0	0	0.0463194
1600020E01Rik	2.61515	3.03262	2.72911	10.7096	10.6087	10.8526	6.8363	7.48643	7.10012	10.731	9.21483	9.92785
1600023N17Rik	0.984349	0.674906	0.800587	0.157862	0.508311	0.384702	0.259206	0.338597	0.29671	0.330538	0.306558	0.175352
1600027J07Rik	0	0	0	0	0	0	0.145722	0.218115	0.509685	0	0.194438	0.0451827
1600029I14Rik	0	0	0	0	0.0593029	0	0	0	0	0	0	0.0255721
1600029O15Rik	0	0	0.0135181	0	0	0.0126095	0.0262605	0.0235839	0	0.0122787	0.0262798	0.0244271
1700001C19Rik	0	0	0.0407345	0.0294512	0	0	0	0.0118443	0.0138388	0	0	0
1700001D01Rik	0.0450294	0	0	0	0	0.0403727	0	0	0	0	0	0.07821
1700001F09Rik	0	0	0	0	0	0	0	0	0.0282261	0	0	0
1700001G01Rik	0	0	0	0	0	0	0	0	0	0	0.0152177	0
1700001G11Rik	0.662849	0.695679	0.826803	0.448576	0.533304	0.741898	0.339958	0.249783	0.19458	0.346613	0.432745	0.344775
1700001G17Rik	0.600984	0.98389	0.797722	0.41765	0.547535	0.436197	0.347339	0.311936	0.364462	0.349797	0.320856	0.173971
1700001J03Rik	0.098104	0.0936887	0.0314323	0.20453	0.131717	0.058639	0	0	0.064071	0.171302	0.21387	0.141994
1700001J11Rik	0.148669	0.0984604	0.136128	0.129142	0.127615	0.134795	0.0142934	0.115628	0.15141	0.190567	0.179451	0.212728
1700001K19Rik	0.0800051	0.101873	0.0512669	0.333595	0.268542	0.191283	0.12449	0.134161	0.0783761	0.419097	0.498324	0.463194
1700001K23Rik	0	0	0	0	0	0.0467429	0.097347	0.0437123	0.051073	0	0.0487092	0
1700001L05Rik	0.0508578	0.0647586	0.0570315	0.269493	0.277399	0.250791	0.276976	0.383777	0.361212	0.584627	0.609794	0.599929
1700001L19Rik	0	0	0	0	0.0141697	0	0.0525501	0.0589923	0.0689259	0.0614274	0.0920301	0.0611016
1700001O22Rik	0.0799549	0.106899	0.076852	0.0500078	0.0161024	0	0.0149294	0.0402231	0.0313308	0.0279222	0.0298807	0.0277741
1700001P01Rik	0.0815437	0	0.0391896	0.0850025	0.0821118	0.109666	0.190326	0.239297	0.119825	0.355964	0.228558	0.318668
1700003D09Rik	0	0.0183837	1.50E-29	0	0	0	0	0	1.82E-41	0	0	0
1700003E16Rik	0.89356	0.853344	0.870812	0.0646848	0.12497	0.155779	0.6952	0.593123	0.826735	0.530924	0.637734	0.646663
1700003E24Rik	0	0	0	0	0	0	0	0	0	0.021812	0	0
1700003F12Rik	4.51216	3.84503	4.53722	1.98996	1.57278	1.74269	0.648094	0.785749	0.748048	0.575758	0.713426	0.421993
1700003G18Rik	0	0	0	0.0427755	0	0.0367912	0.0383107	0	0	0.035826	0	0
1700003M07Rik	0	0	0	0.0114561	0	0	0	0.0184291	0.0322984	0	0.0102679	0.019088
1700006H21Rik	0	0	0.0786312	0.0426379	0	0	0	0	0	0	0	0.0355214
1700007B14Rik	0.0117731	0	0	0	0	0.0422222	0	0	0	0	0	0
1700007G11Rik	0	0	0	0.0308023	0	0	0	0.0247754	0.0578946	0	0.0276075	0
1700007J10Rik	0.275676	0.389297	0.335105	0.287111	0.108819	0.244227	1.2884	0.889462	0.993501	0.910803	1.04067	0.687918
1700007K09Rik	0.112907	0.0359417	0.1447	0.19616	0.113693	0	0.0351371	0.157778	0.0737385	0.164291	0.140651	0
1700007K13Rik	0	0.0302197	0	0.0329861	0	0	0.147716	0.265319	0.216997	0.110508	0.0886943	0.164883
1700007L15Rik	1.56669	2.04911	1.40768	2.59172	2.57218	2.99255	0.85853	0.913805	0.867489	0.594702	0.89098	0.769013
1700007P06Rik	0.0309133	0	0	0	0	0	0	0	0	0	0	0
1700008J07Rik	0.629755	0.612302	0.636909	0.547915	0.736941	0.79001	0.464734	0.407321	0.35873	0.405729	0.334374	0.266914
1700008O03Rik	0.0279272	0	0.0268434	0	0	0.025039	0.0521463	0.0468312	0.0820756	0	0.0521846	0.0727585
1700009C05Rik	0	0	0	0	0	0	0	0.027105	0	0	0	0.0280741
1700009N14Rik	0	0	0	0	0	0	0	0.0507091	0.0789972	0.0528022	0.075341	0.0350148
1700010B08Rik	0	0	0	0	0.0285925	0	0.0265097	0	0.0834496	0.0247903	0.0265291	0.0246589
1700010D01Rik	0	0	0	0	0	0	0	0	0	0	0	0.0878502
1700010I14Rik	0.0541888	0.0388125	0.0130215	0.0141218	0.0272831	0	0.64504	0.499782	0.437955	0.685998	0.670827	0.670595
1700010K23Rik	1.42E-25	0.192814	2.41E-11	0.00426274	0.0692463	0.0243583	0	0	0	0	0	0
1700011C11Rik	0.0700871	0.133866	0.0673672	0	0	0	0	0	0	0	0	0
1700011H14Rik	0	0	0.0419097	0.0227256	0	0.0195463	0	0	0	0	0.0203685	0
1700011I03Rik	0	0	0	0	0	0	0	0.0421157	0	0	0.023465	0
1700011L22Rik	0.0260139	0	0.0750132	0	0	0	0	0.0218115	0	0	0	0
1700012B07Rik	0.0173072	0.0165283	0.0166356	0	0	0	0.0161583	0.0145113	0.0169548	0	0	0.0150302
1700012B09Rik	0	0.0354695	0	0	0	0	0	0	0	0	0	0
1700012C14Rik	0	0	0	0.0532546	0	0	0	0	0.0500474	0	0.0477311	0
1700012D01Rik	1.02499	1.5382	1.72412	0.801347	0.44234	0.722061	0.615177	0.368316	0.573781	1.08664	1.43646	0.699389
1700012D14Rik	0.283134	0.231764	0.311024	0.210817	0.244377	0.290118	0.264338	0.271308	0.356618	0.10594	0.226742	0.140505
1700012D16Rik	0	0	0	0	0	0	0	0	0	0.0383629	0	0
1700013F07Rik	0.171903	0.246249	0.0413079	0.582382	0.389476	0.385313	0.561718	0.432398	0.463108	0.487766	0.481826	0.298572
1700013G24Rik	0.0491151	0.0234523	0	0	0	0.0220179	0	0	0	0	0	0
1700015E13Rik	0	0	0	0	0	0	0.0999411	0.0598363	0.069912	0.0934592	0.0333381	0.0619757
1700015F17Rik	0.0716666	0.102662	0.0344427	0.0747064	0.144332	0.0642551	0	0	0	0	0.033479	0.0933563
1700015G11Rik	0	0	0.0630265	0	0	0	0	0	0	0	0	0
1700016C15Rik	0.0339675	0	0.0326493	0.0354083	0.0684082	0.0304547	0.190275	0.0284801	0.133103	0.0296557	0.0317357	0
1700016D06Rik	0	0	0	0.0209982	0.0202841	0.0541818	0	0	0	0.0527604	0.0376407	0.0699741
1700016G22Rik	0	0	0	0	0.0864043	0	0.0400551	0.0719448	0	0.112372	0.280591	0.26081
1700016K19Rik	0	0	0	0.0287956	0.0556327	0.0743015	0	0.0694841	0.0270615	0.0241174	0	0.047979
1700016L04Rik	0	0.0266996	0	0	0.0563052	0.0250665	0	0	0.0547772	0	0	0
1700017B05Rik	6.34236	6.75125	6.79506	7.02527	7.50289	7.36466	10.4706	11.1284	10.8605	11.7453	11.3503	11.6517
1700017G19Rik	0	0	0	0	0	0	0	0	0	0	0	0.00905877
1700017N19Rik	0	0	0	0	0	0	0	0	0.0147477	0	0	0
1700018A04Rik	0.463223	0.714606	0.376747	0.297152	0.215285	0.0638951	0.0665341	0.0597524	0.034907	0	0.0332914	0.123778
1700018B08Rik	0	0	0	0	0.0237212	0.0211209	0	0	0.0230774	0.0205668	0.0220093	0.0613732
1700018B24Rik	0	0	0	0	0.00760204	0	0	0	0	0	0	0
1700018C11Rik	0	0	0	0	0	0	0.0353989	0	0.037144	0	0.0354248	0
1700018F24Rik	0	0	0	0	0	0	0	2.61E-17	0.0135263	0	0	2.70E-17
1700018G05Rik	0	0	0	0	0	0	0	0	0.0624652	0	0	0
1700018L02Rik	0.0842833	0.0822004	0.162974	0.0436812	0.0423442	0.0573131	0.117438	0.106336	0.0825318	0.0550247	0	0.0365963
1700019A02Rik	0	0	0	0	0	0	0	0.0340217	0.119252	0	0.0379108	0
1700019B03Rik	0	0	0.0151608	0	0.0158827	0.0282834	0	0	0.0154517	0	0.0736828	0.0547907
1700019D03Rik	0	0	0	0	0	0	0	0	0	0.0266333	0	0
1700019N19Rik	0	0	0	0	0	0	0	0	0	0	0.0257531	0
1700019O17Rik	0	0.0141177	0	0	0.014886	0	0	0.0123949	0	0	0	0.0128381
1700020A23Rik	0.138836	0.232028	0.16681	0.108543	0.0699014	0.0311194	0.356452	0.174611	0.340022	0.545455	0.194571	0.241139
1700020D05Rik	1.24836	0.953743	1.07992	0.70271	0.653671	0.98495	0.979011	1.08856	1.00281	0.980909	1.00306	1.08412
1700020I14Rik	27.5279	27.4026	27.0587	27.0342	28.2154	26.0499	33.0455	31.895	30.6682	45.3703	45.4233	48.7968
1700020L24Rik	1.47014	1.50708	2.2358	1.32651	2.17073	1.71501	0.553316	0.874374	0.578722	1.00099	1.08434	1.04309
1700021F05Rik	13.5141	12.8518	13.3981	19.0489	18.287	18.4923	18.9386	19.0274	18.5956	11.8729	11.8056	12.8925
1700021N21Rik	0	0	0	0	0	0	0	0	0.0275399	0	0	0
1700022A21Rik	0	0	0	0	0	0	0	0	0.0344249	0.0153399	0	0.0152585
1700022E09Rik	0	0	0	0.0688852	0	0	0	0	0	0	0	0
1700022H01Rik	0.111586	0.106564	0.0357519	0.0775462	0.074909	0.0333488	0.0347261	0.0311866	0.036438	0.0974216	0	0.0646033
1700022H16Rik	0.0534488	0.0510433	0	0.0557159	0.0538212	0	0	0	0	0	0	0.0464167
1700022I11Rik	0.0273125	0.0260833	0.0262526	0.0854132	0.0618813	0.0857079	0.0191245	0.0114501	0.0200673	0.0119228	0.012759	0.0237191
1700023C21Rik	0	0	0	0.0681768	0.0658583	0	0	0	0	0	0	0
1700023F02Rik	0	0	0	0.0768718	0	0	0	0	0.0722424	0	0	0
1700023F06Rik	0	0	0	0	0	0	0.0594312	0.0355824	0.041574	0.0185256	0.0396498	0
1700024F13Rik	0.0760587	0.0726356	0.109661	0.198212	0.229766	0.068193	0.177524	0.127543	0.111765	0.16601	0.213185	0.264207
1700024I08Rik	0.0670399	0.096034	0	0	0	0	0	0	0	0	0	0
1700024P16Rik	0.179606	0.223726	0.20266	0.431431	0.283081	0.490098	0.00729056	0.0130949	0.00764997	0.047724	0.0437755	0.0203447
1700025F24Rik	0	0	0	0	0	0	0.106276	0.0238609	0.0836363	0.0993832	0.0531769	0.049428
1700025G04Rik	3.22129	3.3528	3.20659	1.22082	1.17404	1.20203	4.17145	4.18584	4.08835	3.81892	3.89182	3.82358
1700025K24Rik	0	0	0	0	0	0	0	0	0	0	0	0.0298572
1700025M24Rik	0	0	0	0	0	0	0	0	0	0	0	0.0286939
1700026F02Rik	0	0.0504079	0	0	0	0	0	0	0	0	0	0
1700026J14Rik	0.160212	0.153001	0.0615977	0.0334015	0	0.0287287	0.0897456	0.0537321	0.15695	0.027975	0	0.0556532
1700027I24Rik	0	0.0349089	0	0	0	0	0	0.0612978	0.0358098	0	0	0
1700028E10Rik	0.0561626	0.0715132	0.0989688	0.0292724	0.0471282	0.0587468	0.0436951	0.0470897	0.0275095	0.0245167	0.061218	0.0243867
1700028I16Rik	0.0722774	0.25309	0.0694724	0.0753431	0.0242603	0.0216009	0.022493	0	0	0.0210342	0.0225095	0
1700028J19Rik	0.107168	0.286565	0.35023	0.0670281	0.107914	0.134519	0.140075	0.143768	0.14698	0.243267	0.200253	0.093068
1700028K03Rik	0.649163	0.562263	0.534739	0.384436	0.343129	0.329365	0.535309	0.63358	0.741437	0.450702	0.476591	0.409839
1700029F12Rik	0	0	0.0206714	0	0	0	0	0	0	0	0	0
1700029H14Rik	0	0	0.017077	0.0185201	0	0.0159292	0.0165871	0	0	0.0310225	0	0.015429
1700029I15Rik	0.209684	0.467243	0.201546	1.09289	0.351908	1.19066	0.522036	0.586034	0.4793	1.83067	1.24075	1.82096
1700029J07Rik	0.427122	0.576379	0.446246	1.12278	1.03784	1.01565	2.37527	2.21101	2.37411	2.22932	2.35098	2.28201
1700029P11Rik	0	0.0711815	0	0.0258992	0.0750553	0.0222759	0	0	0.0243395	0	0	0
1700030C10Rik	0.0296828	0.0140932	0	0	0.0148601	0.0264624	0.0138653	0	0.0582095	0.0517652	0.0414587	0.0257943
1700030F18Rik	0	0	0	0	0	0	0	0.0343504	0	0	0	0.0355786
1700030J22Rik	0.265463	0.278049	0.271623	0.142825	0.224197	0.230332	0.343778	0.294378	0.302003	0.299053	0.272024	0.260283
1700030K09Rik	5.62155	6.24123	5.9606	8.68299	9.08546	9.12499	4.29056	4.20054	4.61682	4.54372	4.94788	5.09452
1700030M09Rik	0	0	0.0253675	0	0	0	0	0	0	0	0	0.0229194
1700031A10Rik	0	0	0	0	0	0	0	0	0	0	0.0362349	0
1700034E13Rik	0	0	0.0512669	0	0	0	0.0497959	0	0	0	0	0
1700034H15Rik	0.00611856	0.011516	0.00584528	0.108226	0.0490382	0.103459	0.0390186	0.0448742	0.0592404	0.189713	0.231323	0.230696
1700034I23Rik	0.0867945	0.229288	0.0453251	1.05E-07	0.0130567	0.0194546	0.0395763	0.0545799	0.0425136	0.0568328	0.0101365	0.0188438
1700034J05Rik	0.0750491	0.0358357	0.108205	0.0260775	0.0125953	0.0224293	0.0350334	0.0419501	0.0367605	0.0873634	0.0116864	0.04345
1700034P13Rik	0.0538419	0.0544819	0.130078	0.0889264	0.0563277	0.0736874	0.0786224	0.166626	0.0840257	0.024288	0.0755717	0.0458411
1700037C18Rik	1.62344	1.72756	2.09545	1.28131	1.54134	1.20603	1.47236	0.93338	1.24959	0.951659	0.736721	0.966753
1700037H04Rik	17.0636	17.3626	17.4753	18.3095	18.482	19.2532	38.2262	37.4471	38.7726	40.2532	39.5685	42.3318
1700040L02Rik	0	0	0	0	0	0	0	0.0172307	0	0	0	0
1700042G07Rik	0	0	0	0	0	0	0	0	0	0	0.0606379	0
1700042O10Rik	0.0236666	0	0	0	0	0	0	0.0198434	0.0231848	0	0.0663351	0
1700045H11Rik	0	0	0.0824765	0	0	0	0	0	0	0	0	0
1700047A11Rik	0	0.156752	0.0394424	0	0	0.0735824	0.0383107	0	0	0	0	0.035636
1700047G03Rik	0.0302877	0	0.0291123	0	0	0	0	0.0253948	0	0	0	0
1700047I17Rik2	1.95245	2.0592	2.02231	2.24287	2.21959	2.30081	3.2599	3.20535	3.20351	3.63591	3.76879	3.64767
1700048M11Rik	0.579416	0.402428	0.35441	0.329451	0.424329	0.283361	0.295064	0.574143	0.412813	0.321915	0.442921	0.274464
1700048O20Rik	0	0	0	0	0	0	0	0	0	0.0240391	0.0128626	0.0119558
1700049L16Rik	0	0.0301447	3.89E-05	0	4.48E-28	0	0	0	0	0.0275585	0	0
1700052I22Rik	0	0	0	0	0	0	0	0.0565826	0	0	0	0
1700052K11Rik	1.53017	1.49302	1.57152	2.82195	2.7714	2.37115	1.2715	1.31629	1.49601	2.29777	2.66053	2.40547
1700054M17Rik	0	0.0545991	0.0549535	0	0	0.102519	0.106754	0	0.112016	0.0499149	0.0534159	0.0496502
1700056E22Rik	0.552507	0.603018	0.910398	0.0822775	0.158959	0.23589	0.171943	0.242656	0.257742	0.275642	0.319556	0.27418
1700057G04Rik	0	0.0230956	0.0232455	0	0	0	0.0451571	0.0405544	0.0473833	0.0422284	0.0451902	0.0630067
1700057H21Rik	0	0	0	0.628951	0.506302	0.495882	0	0	0	0	0	0
1700060C16Rik	0	0	0	0	0	0	0	0	0.0386413	0	0	0
1700060C20Rik	0	0	0	0	0	0	0	0	0.0422434	0	0	0
1700061G19Rik	0.0414528	0.0494839	0.0298831	0.205253	0.177402	0.195121	0.24188	0.173781	0.253805	0.334765	0.319516	0.377989
1700061I17Rik	0	0	0.012464	0	0	0	0.460041	0.369661	0.457314	0.101891	0.169613	0.112611
1700064M15Rik	0	0.0376692	0	0	0	0	0.0368258	0	0	0	0	0
1700065D16Rik	0	0	0	0	0.101394	0	0.0626719	0	0	0	0	0.0291482
1700065J11Rik	0	0.0567678	0	0	0	0	0	0	0	0	0	0
1700065J18Rik	0	0	0	0.0656455	0	0	0	0	0	0	0.0588368	0
1700066B19Rik	0.0101604	0	0	0	0	0	0.00948589	0	0.019907	0	0	0
1700066J03Rik	0.0493055	0	0	0	0	0	0	0	0	0	0	0
1700066M21Rik	5.53337	5.33281	5.8391	6.73824	6.33869	6.78172	5.71107	5.74613	5.64449	6.51517	6.69546	6.80391
1700066O22Rik	0	0	0	0	0	0	0	0	0.0259621	0	0	0.0230149
1700067G17Rik	0	0	0	0	0	0	0	0	0.0413327	0	0	0
1700067K01Rik	0.305112	0.336208	0.31583	0.366985	0.307237	0.252515	0.21912	0.216465	0.114961	0.122945	0.241209	0.142676
1700071K01Rik	0	0	0	0.0255499	0	0.0219755	0.0228831	0	0.0240112	0	0.0228999	0
1700071M16Rik	0.0207259	2.80E-45	0.0215657	0	0	0	0.0498496	0.0532424	0.0519082	0.0198351	1.32E-34	0
1700072I22Rik	0	0	0	0	0	0	0	0	0	0	0	0.0251644
1700073E17Rik	0.011064	0	0	0	0.00557053	0	0	0	0.00541935	0	0.0103371	0
1700074H08Rik	0.0465112	0.133254	0.178825	0	0	0	0	0	0.0455642	0	0	0
1700080O16Rik	0	0	0	0	0	0	0	0	0.0171414	0	0	0
1700081H04Rik	0	0.0215778	0	0	0	0	0	0	0	0	0	0
1700084D21Rik	0	0	0	0	0	0	0.0526667	0	0	0	0	0
1700084E18Rik	0.527592	0.503847	0.45077	0.977725	0.767385	1.26141	0.875674	0.491512	0.918843	0.81888	0.602467	0.610903
1700084J12Rik	1.25294	1.13007	1.37158	1.92285	2.3481	3.13964	1.56173	1.45907	1.46609	1.00274	1.17062	1.54147
1700086O06Rik	0.843223	0.882262	0.773462	4.12136	3.97044	4.50193	1.47953	1.40417	1.38136	3.92389	4.00756	3.63291
1700088E04Rik	0.794285	0.618546	1.09009	0.346931	0.323386	0.421044	0.326806	0.599721	0.607094	0.613008	0.287449	0.392781
1700091H14Rik	0	0	0	0	0	0	0.0171129	0	0	0	0	0
1700092M07Rik	0.535613	0.191815	0.19306	1.25625	1.28094	1.20056	0.312535	0.168408	0.131177	0.467624	0.375317	0.755859
1700093K21Rik	0	0	0	0	0.0177048	0.015764	0	0.0442259	0	0	0	0
1700094D03Rik	0.517541	0.58894	0.593785	2.38332	2.19333	2.03618	1.32221	1.24224	1.24215	2.14625	2.3983	2.17176
1700094J05Rik	0.0979173	3.53E-35	1.16E-30	4.95E-38	2.98E-31	2.02E-32	6.78E-36	0.0258983	3.87E-38	0.0285013	4.58E-39	0.0270776
1700095A21Rik	0.190396	0.113642	0.160131	0.148854	0.143792	0.149368	0.0666585	0.119728	0.116574	0.0623353	0.0667074	0.0206682
1700095J12Rik	0	0	0.032519	0	0	0.0909996	0	0	0	0	0	0
